Id,Label,timeset,modularity_class,availability,pricing_estimate,supplier_url,notes,last_research_date
R1913001,St John's Wort HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913002,Soapwort HG (3009) Extr,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913003,Horsetail Cosmelene Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913004,Centella Asiatica Cosmelene Ex,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913005,Yarrow Phytelene EG 472 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913006,Geranium HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913007,Lavender HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913008,Rosemary HG Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913009,Arnica Phytenele EG 001 Ext,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913011,Phytelene EGX 247 (BG) 620012,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913012,Phytelene EGX 773 (BG) 620032,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1913013,Passion Flower Cosmelene,,20,Available,Contact for quote,https://cpt.natchem.co.za/,"From Natchem, likely a Greentech botanical active.",2025-10-13
R1902002,Rewoderm S1333 KM 5,,21,Unknown,Unknown,Unknown,,2025-10-13
R1902999,ColaMate RM / replacement Rewoderm S1333 KM 5,,21,Unknown,Unknown,Unknown,,2025-10-13
R1901004,Waglinol 3/929,,22,Unknown,Unknown,Unknown,,2025-10-13
R1905005,AA2G,,22,Unknown,Unknown,Unknown,,2025-10-13
R1905006,Hydromanil,,22,Unknown,Unknown,Unknown,,2025-10-13
R1905007,Acquacell,,22,Unknown,Unknown,Unknown,,2025-10-13
R1905031,Ten's Up,,22,Unknown,Unknown,Unknown,,2025-10-13
R1905028,Celligent,,23,Unknown,Unknown,Unknown,,2025-10-13
R1905040,Defensil Plus,,23,Unknown,Unknown,Unknown,,2025-10-13
R1905013,Genencare OSMS BA,,23,Unknown,Unknown,Unknown,,2025-10-13
R1905038,ProRenew Complex CLR,,23,Unknown,Unknown,Unknown,,2025-10-13
,,,,,,,,2025-10-13
